CD09OC-2009,Candied Orange Cubes,3184
SAS-HL-500g,Sanabel Halawa 500g,66
Crepe 18,Crepe Collection In Chocolate Filling,247.5
40011,Green Mountain-Butter Ghee-15kg,4074
N08,Nougat,526
Z13P0045,FC BRODERIE,1518
SSGIFT ARABIC TRAY 21 NEW,SANABEL GIFT NEW ARABIC TRAY 21,9614
SA1062P9-1P,12.7*9.3*4.2 CM PINK PVC,24
930-1-2,TRAY (2/S),108
D-HZ-6,D-HZ-6,10
W05,Wafer Collection,295.5
86602,Arabes Pistachio Green Crunch,2136
A10270-38,Wooden Stickers (D151),122
B009 Pink,Basket Pink,16
TRAWD071,Tray 35x52cm,459
40029-1,Macphie Mactop Cream,68
TI07,Tinker Bell Collection,52
PG-MAMDTS250GM,PETIT GOURMET- MAAMOUL DATES,300
BOXSS86A,Sleeve For Baklawa 500grm SAS,30000
WG13C531-5,CAR (11x8.5x6.5CM),1151
AF0113740A-2PZ	,Baby Accessories,7
MY12066A-BEIGE,GIFT BAG BEIGE (1X12),1033
CAST-PAPERBAG 01,CASTELO PAPER BAG 25*32*11.5CM,1974
PF23,Petitfour-Chocolate Cream,598.5
ASCC-A07,Azura Compound Chocolate,995
B1-0533-5-1-BLUE,THREAD PAPER,1
A008,Box Pink (D157),560
PVCCAT02P,CATCOOT PVC BOX-P 8*7.5*15CM,3762
SST LUX,Stickers Luxurious Product,20
SAS-TRF-DRK,SANABEL TRUFFLE MOUSE DARK,18850
B3-7130-2G2,Tray 42x22 Cm Gold,3396
ASNU01,MIX NUTS,10
LCR4,FC LUXURY CHOCO ROSE 120X260,4864
MN49,Nougat Macadamia,5.86
PC3001,Mould,50
20116,Chocolate Box-Pioneer,25000
SSGIFT29MC,Sanabel Gift 29MC,1573
N50069,CAKE DECORATION,30960
TS04,Silicone Brush,10
A-0302M11,PEARL DECORATION 40m,203
CR14027A,Christmas Item (D137),359
D40-A13-B,D40-WOODEN STICKER BLUE,16
K-050,Big Silicon Cake Mould 600x400mm,9
0011,Stapler,36
PVC BOX41,Christmas (7x4x15),242
B39308-6 GOLD,B39308-6 GOLD,96
BASCHOC 1KG,BASBOUSA CHOCOLATE 1KG,53
PI-CCB8PCS,PREMIER INN CUSTOMIZED 8 PCS CHOCO BOX,260
HLM02,Halawa Mabruma Pistachio,530
AT052-0030-15-1340 LN,Peach-Lined(1cm X 15m) LN,307
SSGIFT16SP,Sanabel Gift 16S-P,8
SA228DG,17*5.5*3.7 CM GOLDEN PVC,24
CR04FL-2020,Hazelnut Filling 5kg,1684
XD1817-1D,GLASS VASE,4
SASGIFTST007,SANABEL GIFT ST007,480
GR028,GARDENIA CHOCOLATE PAPER,250
B36890-7G,Gold Tray Square 15.5 X15.5,4481
ZM1 (21*21*4.5CM),WOODEN TRAY 21*21*4.5CM,80
BAR 12,ROSE FLOWER & TURKISH DELIGHT IN MILK CHOCO 125G,390
A10270-9-Blue,Wooden Stickers (D151),750
GD-OREO ASST 1KG,GARDENIA OREO ASSORTED 1KG,1920
LP11,DARK TRUFFLE,266
A1-0270-9 PINK,A1-0270-9 PINK,499
D027-B1-15,HAJJ BOX,151
Sleeve Prestige Big,Prestige Sleeve Big ( Square Tin Can),400
LCGIFT8LA,LU CADEAU GIFT 8LA,2
SST31,Stickers Mayam,177
RF243412,RIBBON 1.5" X 10y,221
SSGIFT6LB,Sanabel Gift 6L-B,527
US-RON-PLAIN,Rondies-Plain Choco 50%,13592
SST FUN,Sticker Oh What Fun, To Have A Son,40
CP030 Roll 10.5cm,CP030 Roll 10.5cm,950.55
HH863A-4,Paper Box,4
AT001-0030-P112 SN,1cm X20m RIBBON-WHITE,2095
YDBA018-B,Christmas Item (D119),65
GLASCUP06,Espresso Cup Shinny Red,1010
BAR 07,MIX NUTS IN WHITE CHOCOLATE 115G,86
SA0251SC BLACK/WHITE,FLOWERS,12
SAS-BASCR-PL 1KG,SANABEL BASBOSA CARAMEL PLATE 1 KG,12054
AT052-0100-P117 LN,2.5cm X15m RIBBON-PINK,2010
SSGIFT19MB,Sanabel Gift 19M-B,2575
D022-13,STICKER CHARACTER,17
SSGIFT ARABIC TRAY 11 NEW,SANABEL GIFT NEW ARABIC TRAY 11,8524
SAS-NUGCHOC-DARK,Sanabel Chocolate Nuggets Dark,3488
SSGIFT7LB,Sanabel Gift 7L-B,4
Broken-Pista,Broken Pista,32.6
N50062,CAKE DECORATION,225
BOXSS002,Sanable Al Salam Baklawa 2 Kg Sugar Free,4640
20007,Cake Cups 5.5cm,3160
D077-A-20-8-3-Gold,D077-A-20-8-3 (EYP) GOLD,2
SSGIFT15MA,Sanabel Gift 15M-A,690
CP031,GRAY BLUE,245
LP21,CARAMEL, HAZELNUT GIANDUJA & RICE CRISPY,141
BOXSS059,Hala Manzali Box W/Pvc Top SAS,2324
A1-0229A Blue Line,DBW24-BURBERRY WRAPPING/20PCS,18
EC5,EASTER EGG W CHOCO STRIPS 350G,16
B3-7135-6 BLUE,B3-7135-6 BLUE,2385
A1-0229A Green Square,DBW24-BURBERRY WRAPPING/20PCS,30
NB03g,Milk Dark Or White Bar,740
AR07 Roll 8cm,AR07 Roll 8cm,166.2
SAS-DRBOX 120G,SANABEL DRAGEE BOX 120G,8440
130029-A,CHRISTMAS ITEM - SANTA,33
EASTER PVC07,Easter Pvc Box Big Hen (14X22X21),300
G1373P-BMB07G-24,24" Boat Plate BMB07G24,532
SSGIFT55M-B,SANABEL GIFT 55M-B,1647
SSGIFT15LP,Sanabel Gift 15L-P,216
JM14-4EF BLUE,WILLOW BASKET (Set Of Two),23
SSGIFT51BE,SSGIFT51BE,2
SSGIFT49MG,Sanabel Gift 49M-G,212
SST Baby bond,Stickers Baby Bond,300
CREPE 13W,CLEAR WRAPPED CREPE ORANGE CTN (1 X 135PCS),14
SF051,BAVARESE MOULD 57H,12
SP-BOXES 01-1,JACKET TYPE BOX (5X5) BLACK VELVET,538
AAC09-D119,Jewellery Accessory,11404
187126-279,Plastic Tray,244
SSGIFT67MA,SANABEL GIFT 67M-A,96
PF64,Petitfour Vanilla,338.1
SASBRW08,Sanabel Gift BRW08,2
B3-7135-7 PINK,B3-7135-7 PINK,2393
A10270-1-Blue,Wooden Sticker (D151),515
CT25,Handmade Coffee Tart,17
GD16,Gourmet Dates,28
SSGIFT6SA,Sanabel Gift 6S-A,292
JM14-2EF BLUE,WILLOW BASKET (Set Of Two),79
D063-TL401,D063-Leather Box-Blue (Boy),18
BOXMX042,Box For Sample Of Iscal Caramel Items,400
D021-PAPERBOX-05-S,D021-PAPERBOX-05-S,4608
BAGCL02,Chocolala Bag 19x19x19 ( Chocolate),2000
SLS-Asateer04,Sleeve Asateer Baklawa,1000
BL005,SILVER PINK,105
SSGIFT37SA,SANABEL GIFT 37SA,562
TMGIFT021,TAMRIYA GIFT 021,128
SSGIFT24,CHOCOLATE GIFT PLATE -SS24,6
ACC21-D100,Jewellry Items,124
SAS-ASC-01,Sanabel Salam-Praline 1Kg Box,25454
M04,Pistachio Marzipan,160
MRO-004,Moroccan Barewat,713
CPKID'SLOVERS,CHOCOLATE PIZZA KID'S LOVERS,5
TMGIFT026,TAMRIYA GIFT 026,98
XMT087 ORANGE,XMT087 ORANGE,17
D197-PAPERBOX08B,D197 Paper Box 08 Blue,2160
Q4-TH0001,Sattan Flower,2540
SSGIFT63,Sanabel Gift # 61,12
BK531,Baklawa Gourmet Sweest(3n1) 500g,8092
ZJ352,CHRISTMAS CERAMIC,55
MY12066A-WHITE,GIFT BAG WHITE (1X12),709
QY13-20553-P	,Baby Accessories,1653
MN17,Malban Nougat Variety,191
SSGIFTMAW01,SANABEL MAWALEH GIFT 01,408
RA66412-25,RIBBON - 25yrds,190
SAS-BSBDT,Sanabel Basbousa Date,109540
20041-B,Alrifayi Ctn 51x25.5x33 3 Ply Brown Plain,5358
SSGIFT ARABIC TRAY 53 NEW,SANABEL ARABIC TRAY 53 NEW,440
SST583,Stickers Cacao Sweets,802
GN01,Gourmet Nougat,200
ASC-BAR,Bar Chocolate,2909
AF123-0030-C063,1cm X 15m RIBBON-BROWN/PINK,1054
D-015,Silicon Cake Mould,9
HK5877,Flower,1640
A10270-39-Orange,Wooden Stickers (D151),358
F-TRAY 6 B/M,FRAME TRAY (72X72X5) BLACK/MAROON,8
B1-1112,TEDDY BEAR 2,1
Delice Sucre,Delice Sucre (15Kg),7242
FM32,Flavors Of Malban,90
BLISTER 26,PETIT FOUR TRAY,7500
GIFT 007,Ceramic Chocolate Gift,55
SST MY BAKE S,Sticker My Bake Silver Foil,190000
SP-BOXES 03,ENVELOP FOR 5X5 - SINGLE LAYER,388
G882P-2223-19,ROUND PLATE 19",549
SSGIFT9S,Sanabel Gift 9S,18
P14,Poetes Chocolate-Eliot,740
D057-110-111-blue,SANABEL PAPER BOX Blue,4200
DK008 (50*34*5.5cm)-Gold,WOODEN TRAY 50*34*5.5CM (Gold),76
SSGIFT7XS-A,Sanabel Gift 7XS-A,62
PN08,Pinnacle Selection,40
D021-PAPERBOX-02-B,D021-PAPERBOX-02-B,2500
PL016,GREEN BLUE SEA,150
AAC02-D119,Jewellery Accessory,7077
GT BOXES 19,Baklawa Boxes Small Asateer (like Book Opening),7861
SSGIFT2SB,Sanabel Gift 2S-B,1591
D40-A41-P,BABY STAND ACSS,96
DK1706,PEARL ACCESSORIES 10PCS/PKT,75
D-ZF-12,BOX,88
D-025,Silicon Cake Mould,23
CR03FL-2020-5,White Chocolate Filling,2841
40229,POUND CAKE 323g,7500
PE02AXX-2009-1,Silver Pearls Size #1,277
11056003000004,Normal Chocolate Gift 335,18
A1-0270-31 PINK,A1-0270-31 PINK,516
SLSS011,Tin Sleeve Big Rect. Choco Dates,19540
SST-PDO,PAIN D'OR STICKER,40
ASCC-A24,Azura Compound Chocolate,350
BN500,Bilbols Nest 500g,1852
BOXES 050,JARDIN VERT-ASST. NOUGAT,1000
DY1-3694-C,Flower,3350
SA1052P9-2P,22.7*9.2*5.4 CM PINK PVC,20
H327887-4,Accessories (D155),4438
SSGIFT ARABIC TRAY 34 NEW,SANABEL GIFT NEW ARABIC TRAY 34,1272
N010,CHOCOLATE PAPER,510
23299,GLASS PLATE,0.32
G03,Graduation Collection,150
WCP02-10.5CM,FUALA CHOCOLATE PAPER SILVER,988.4
ZA1261,MEDIUM LAMP/LANTERN(PC),633
BAR 11,MARSHMELLOW & M&M IN MILK CHOCO 118G,365
MN37,Malban Nougat Variety,60
TRAWD059,Wooden Tray 40x30,337
10136-1,Puree Strawberry,250
NB19g,Milk Plain Or With Nuts,259
SAS-BSB100GM,SANABEL BASBOSA 100GM,151958
SLABS 09,Slabs- Redberries & White Chocolate,360
A10270-12-Pink,Wooden Stickers (D151),304
20055L-PW,3 Ply Plain White Carton For PG Tin Can (450x260x310),8532
D-110,Silicon Cake Mould,11
10010-2,Gloves Vynyl Powder Free Medium,10805
SOFCHOCBOX-SAT,PLAIN MILK CHOCO FILLED W BROKEN HAZELNUTS (DOMINICA),13500
N03,Nougat,316
0038 WHITE,Z,26
BLISTER 41,OVAL SHAPE (40mmx20mm) Chocographix,100
2640-2,Wooden Box,556
SAS-TMR-FEU,Sanabel Tamriya Feullettine 1Kg,64
XD038-35Z,GLASS VASE,582
PBC 10,PRALINE FILLING PBC 10 11G,10
TAMRIYA CUPS,TAMRIYA CUPS,61449
0013,Highlighter,50
SF10405B,SNOWMAN,1
RC01NG6-2020,Dark Chocolate Buckets (560CN0180),53650
F04,GOLDEN FLOWER,80
FCP01,CHOCOLATE PAPER GOLD,90
A10270-39-Yellow,Wooden Stickers (D151),358
RCD-Arabsque,Arabsque Dark Chocolate- Noir 58- Zeelandia,310
NT0300,Hazel Nut Plain,10008
TRAWD020,Wooden Tray Gold 90x50x5(oman),92
40006,Baking Powder,162
TRAWD043,Wooden Tray Gold 40x30CM Gold,445
MDL1114,Character Mould- Camel,2500
8442,Plexi Tray-Brown,132
E14,EASTER MEDIUM BUNNY,430
CHMS061,Small Tin Box,3
A10270-19,Wooden Sticker (D151),12
VM01SP-2024,Dark Vermicelli,6103
SST151,STICKERS-CHOCOLATE SWEETS,51.5
LCGIFT4S,LU CADEAU GIFT 4S,1
B36890-1,Gold Tray (D155),1688
GIFT 019,Chocolate Gift Tray,117
EC 002,Gif Egg (35g),10
SST REEM S,Sticker Reem Silver Foil,80000
A1-0270-13 ORANGE,A1-0270-13 ORANGE,277
D006-M-2,PLEXI STICK ON STAR-YELLOW,6670
SASBRW01,Sanabel Gift BRW01,60
BASDTS 1KGS,BASBOUSA DATES 1KG,26
BOXSS014,Sanabel Al Salam Croquant,358
801,FLOWER,58
Duck,Moulds,69
Natra Cacao Butter,Natra Cacao Butter,100
G1017RP-2229E-20,RECT PLATE 20",446
RND 03-Kg,LOOPS- Dry Fruits (Per Kg),15
TRAWD110,Wooden Tray (85x43x13),4
EC41,EASTER GIFT BOX,336
D-003,Silicon Cake Mould,11.5
C-2007,Silicone Cake Mould,5
E38646-2-G,Accessories (D155),2552
TAM07,Tamriya - Coconut,23
WT13,Winter Collection,50
D022-17,STICKER CHARACTER,3
N70040,CAKE DECORATION,740
SSGIFT79MB,SANABEL GIFT 79M-B,686
SS10,Spring Selection Chocolate,70
D41-YLH2581BB 2/S,CHRISTMAS ITEM,11
CP004,CHOCOLATE BROWN,505.5
B37069-4-P,Accessories (D155),453
BLIS-NB007,Square Blister Small- Baklawa,3046
N20038,CAKE DECORATION,660
MIX4,FC POLYKRAPT ECRU 120x260,4218
17524 Blue,BABY RESIN BLUE,251
G1150P-2227E-17,17" Rect. Plate,922
C49323-1,C49323-1,613
SAS-BSBCH,Sanabel Basbousa Chocolate,113160
CQ04,Croquant Peanut Finger,361.5
A1-0302,GLUE GUN BIG,127
D007-0270-80,WOODEN STICKER-CARS,114
Ceramic3854,Ceramic Ware 3854,46
N50096,CAKE DECORATION,88
SSGIFT8MB,Sanabel Gift 8M-B,54
SAS-MDTINBOX 1KG,SANABEL MAAMOUL DATES TIN BOX 1KG,9749
SSGIFT71MA,SANABEL GIFT 71M-A,1432
GIFT 001,New Born Baby Chocolate Gift,85
BOXSS060A,New Petifour Box 1 Kg SAS,12038
SSGIFT ARABIC TRAY 57 NEW,SANABEL GIFT ARABIC TRAY 57 NEW,40
AL012 Roll 9mm,AL012 Roll 9mm,83.04
FO11602B,Glass Plate 50x50x6cm Blue Color FO11602B,205
YL6713-2-BLUE,YL6713-2,2268
SAS-MJT-500g,Sanabel Moajanat Crispy 500g,22
MA2301A,SMALL BOAT,218
10004,Cotton Mop Big,180
VAL003,VALENTINE GIFT 003,6
WB-TRI,WOODEN BOX TRIANGLE DARK BROWN (25x25x4cm),32
A1-0484M,PAPER POUCH MAN,5728
GD01,Gourmet Dates,108
SLSS012,Tin Sleeve Mamoul Date 500g,28360
A1-0270-37 Pink,Wooden Tray W/stand Pink,202
SSGIFTSV03,SANABEL GIFT MINI SV03,1713
YQA73-0150-G003,Ribbon,387
PBC 14,PRALINE FILLING PBC 14 23G,25
Gift bag,Gift Bag,11176
TRAWD077,Tray 51x41.5x36cm,449
SAS-OREOGOLD MEDIUM,Sanabel Oreo Gold Medium,36924
WCP67-9cm,Fuala Chocolate Paper Ondine,237
BK355,Baklawa Dubai Skyline Tincan 355g,3427
BLISTER 31,Basbousa 80g Tray,173190
BOXLEA052,Leather Box 37x27,19
B37069-6,Accessories (D155),404
06GG-101,RIBBON,36
SA228DS,17*5.5*3.7 CM SILVER PVC,8
A1-0270-34 BLUE,A1-0270-34 BLUE,243
BOXPG027,Petitfour Box Petit Gourmet,9278
LCP309,POWDER LAKE GREEN 25GR,6
20822-40006,Glassware,285
AY549,Ribbon,8
EC 01,Bunny Carrying Basket,2
20822,Glassware,280
SA1023P9P,17*12.5*4.5 CM PINK PVC,162
FILL04,FILLING- REDBERRIES CROQUANT,2
NB20g,Milk Plain Or With Nuts,40
AA03 BROWN,Accessories,369.3
C4-ARGIFT11,CARREFOUR ARABIC GIFT 11,24
SAS-OREO-CPR-1KG,SAS-OREO-CPR-1KG,32456
BOXLU002,Lulu Baklawa 22*16*3,1820
A1-0270-39 PINK,A1-0270-39 PINK,140
AL010 Roll 10cm,AL010 Roll 10cm,17.5
AX693-0150-MG22,Ribbon,370
SSGIFT3SA,Sanabel Gift 3S-A,1962
K8743,Tray 17.5",402
SLD3100BL,Dark Compound Block (25kg),113947.5
SSGIFT1SA,Sanabel Gift 1S-A,642
MAC05-PC,Macaron Strawberry Pc,800
PT-9008,Moulds,66
AY302-0250-A025,RIBBON,151
SSGIFT54M-B,SANABEL GIFT 54M-B,308
RH31509,White Plain Ribbon With Stiches 1.5"x25 Ys,567
SAS-OREO GOLD,SANABEL OREO GOLD,110991
EC28,EASTER EGG YELLOW WRAPPED 350GM,84
NUC07,Unwrapped Chocolate-Stallion,387.5
N20039,CAKE DECORATION,660
NET-B1-0533-3-GOLD,Z,63
FCP02,CHOCOLATE PAPER SILVER,160
SA1052P9-3B,32.7*9.2*5.4 CM BROWN PVC,44
SP 1081,MOULD,100
HC01,Unwrapped Chocolate-Handmade,95
SSGIFT8M,Sanabel Gift 8M,8
AL007 Roll 9cm,AL007 Roll 9cm,190.44
MY1267C-S,DECORATION,174
ESS020,Essence Blueberry,1
LR-GIFT008,Chocolate Gift,20
AS06,Arabesque Collection Mamoul Dates,150
JM14-4PQ PINK,WILLOW BASKET (Set Of Two),133
LP05,OREO,391
